@relation weka.datagenerators.clusterers.BIRCHCluster-S_1_-a_10_-c_-k_4_-N_1..50_-R_0.1..1.41_-O

@attribute X0 numeric
@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute X5 numeric
@attribute X6 numeric
@attribute X7 numeric
@attribute X8 numeric
@attribute X9 numeric
@attribute class {c0,c1,c2,c3}

@data
0.53238,1.371175,3.735507,0.416877,3.309004,4.04569,3.633086,4.038259,1.770498,2.217459,c0
0.349493,1.099004,4.289884,0.318024,3.78448,4.388663,3.40889,3.72979,0.323512,0.878931,c0
1.34128,1.07436,3.784181,-0.447974,4.784379,3.856499,3.837381,4.120683,1.403038,0.881883,c0
0.331407,1.301413,4.318852,-0.080014,4.075493,4.763057,3.494648,3.528141,1.95414,0.704806,c0
0.79272,1.355616,3.125199,0.571267,3.220735,4.388556,4.147648,3.895326,1.675444,1.128397,c0
1.804159,1.825442,3.899868,0.414632,3.691508,3.592234,4.046366,4.095787,2.560988,0.770069,c0
-0.254901,0.899182,4.369307,-0.529267,4.116066,3.908621,4.596137,3.825237,1.794259,1.688967,c0
0.941292,0.55479,4.354964,0.405054,3.517399,3.774318,4.40341,3.806824,2.391054,1.495072,c0
1.222974,1.975251,3.783003,0.290324,3.190497,3.462567,3.784639,3.972872,1.917593,1.889666,c0
0.434253,1.251873,4.062303,0.16451,3.857447,2.833213,3.627387,3.323996,0.878819,1.787681,c0
0.111448,1.253822,3.499327,0.059032,4.016993,3.94546,3.395415,3.811443,0.641581,1.270379,c0
1.344708,1.358962,3.540925,0.438162,3.27579,3.934883,3.288173,3.914378,1.576599,1.774021,c0
0.756259,2.035957,4.468978,0.054334,3.33812,3.677005,4.158932,3.856546,1.576223,1.926134,c0
0.198533,1.279928,4.125884,-0.734381,3.695799,3.132954,4.295994,4.121077,1.510204,1.299701,c0
1.088152,0.962123,3.637375,0.477306,3.493554,3.47685,3.547484,3.661926,1.878807,1.058566,c0
0.161883,0.349762,3.953444,0.87859,3.768196,3.784743,3.258984,2.847791,1.712465,1.968181,c0
1.089745,1.566492,4.080648,0.612927,3.830143,3.448841,4.141348,4.074089,1.792008,0.933986,c0
0.181365,3.201209,2.12139,1.027022,0.926172,0.641479,2.718734,4.060946,-0.066542,2.29961,c1
0.90578,3.303641,2.428479,0.668355,2.010511,0.651068,2.791975,2.455678,-0.906665,1.694764,c1
0.70931,2.942089,1.498737,0.52712,2.231834,0.23307,2.517855,2.652684,-0.557811,2.528613,c1
-0.085374,2.363872,2.842932,0.994506,1.804844,0.464569,2.680826,3.137722,0.518605,2.907411,c1
-0.227067,2.859004,2.159159,0.955642,0.838462,0.566616,2.620407,3.168714,-0.131314,2.041598,c1
0.371941,2.844524,3.085896,-0.100922,1.297422,0.11276,2.581873,3.543553,0.279452,2.710706,c1
-0.123112,2.628048,3.134978,0.563071,2.303988,0.573083,2.195665,3.228264,0.212842,1.665059,c1
0.777006,3.083933,2.108636,0.596624,1.626225,0.535046,2.005797,3.382921,0.397839,2.871565,c1
0.364713,2.653211,2.882956,1.128319,1.929379,0.783145,3.274208,3.402484,-0.704987,2.008956,c1
0.222833,2.966737,2.783525,0.121552,1.856408,-0.028574,3.458363,2.829493,0.193501,1.342239,c1
-0.153235,3.970648,2.558847,0.540634,1.26883,0.885007,3.595459,3.068969,0.21479,2.57808,c1
-0.028441,2.635435,2.41527,0.116838,2.335091,-0.283075,2.416585,3.761713,-0.682297,1.688048,c1
1.110253,3.488014,3.098509,1.001787,2.152721,0.895146,2.565972,3.805702,0.011055,2.147063,c1
0.439254,3.259145,3.252452,0.10733,1.523159,0.831157,2.836272,3.00987,0.176933,1.905327,c1
-0.036346,2.737642,2.437802,-1.215439,1.122618,1.332244,3.019324,3.696563,-0.630605,2.414894,c1
2.055794,2.287649,2.319819,0.79786,2.737278,0.462997,0.249445,0.778107,0.701714,2.365247,c2
1.953606,2.199234,1.801407,0.889554,2.458794,0.972464,-0.092385,0.662517,0.864102,2.371948,c2
1.970221,2.276436,2.176162,0.475869,2.520485,0.665817,0.206383,0.592004,0.676356,2.425853,c2
1.805277,2.092541,2.344363,0.943805,2.46049,0.85878,-0.011576,0.490629,0.460127,2.259324,c2
2.067888,2.294991,2.26917,0.740945,2.058555,1.216333,-0.031767,0.817725,0.854839,2.356669,c2
2.436166,2.410174,2.336437,0.787864,2.753782,0.490394,0.367581,0.487671,0.882642,1.894703,c2
1.97902,2.583906,2.480176,1.041587,2.732613,0.917099,0.084172,0.782713,0.654154,2.216358,c2
1.184935,1.898639,2.357196,0.730959,2.68175,0.540012,-0.283442,0.764213,0.696774,2.007473,c2
1.879352,2.36259,2.260967,1.234258,2.39825,0.630936,-0.002414,0.709578,0.98822,1.929638,c2
1.954207,2.310913,1.992524,0.715432,2.703527,0.748335,-0.443097,0.953935,0.868533,2.24718,c2
2.035352,2.109873,2.149399,0.62835,2.716393,0.817165,0.105025,0.6056,0.514033,1.8675,c2
1.83476,2.138372,2.356763,0.719654,2.507139,0.539953,-0.002344,0.857167,0.934288,2.454076,c2
1.798083,2.108696,2.220864,0.885423,2.901275,0.600406,0.499175,0.837005,0.608718,2.323838,c2
1.946773,2.150632,2.012435,0.713887,2.722501,0.683946,-0.018359,0.449443,0.621324,1.893412,c2
1.767275,1.986096,2.287016,0.804291,2.755192,0.840809,0.129674,0.458352,0.711448,2.287,c2
1.889148,2.258355,2.569848,0.544635,2.789223,0.622804,0.147915,0.777421,0.651091,2.46045,c2
2.284108,2.502266,2.394611,1.063328,2.467512,0.874523,0.02363,0.307978,0.336272,2.144471,c2
1.887952,2.466714,2.437511,0.811352,2.776604,0.761988,-0.169338,0.675871,0.276434,2.436457,c2
1.831824,2.255778,2.29318,0.948246,2.432496,0.774817,0.057644,0.380195,0.609685,2.614401,c2
1.627049,2.682709,2.455764,0.630333,2.469507,0.285192,-0.246475,0.560651,0.844984,2.359894,c2
2.145404,2.037578,2.313802,0.71663,2.553423,0.679029,0.218229,0.645504,0.926156,1.878822,c2
2.285097,2.204099,2.268916,0.916785,2.501699,0.632453,0.448538,0.727702,0.590392,2.336848,c2
2.124073,1.928941,2.309766,0.807318,2.698484,0.828975,0.241752,0.884581,0.718147,2.104539,c2
1.808708,2.535445,2.130162,0.946294,2.493559,0.824768,0.099657,0.525687,1.155193,1.776279,c2
1.975912,2.264838,2.333167,0.912147,2.140023,0.656588,-0.159753,0.51948,0.831682,2.39995,c2
2.12736,2.103324,2.344752,0.663142,2.383647,0.586006,-0.03856,0.720886,0.709924,2.32356,c2
1.412646,2.265648,2.375092,1.010484,2.335018,0.953359,0.557062,0.448972,0.615586,1.990946,c2
1.85159,2.400531,2.631392,0.801386,2.365353,0.522714,-0.122873,0.559565,0.54241,1.885196,c2
2.059417,2.234387,2.616293,0.555581,2.473923,0.595,0.237403,0.758393,0.437396,2.038679,c2
1.958683,2.084009,2.300561,1.017107,2.231407,0.834961,0.186653,0.449356,0.992049,2.3091,c2
1.996737,2.001503,2.351805,1.138767,2.370754,0.782617,0.211662,0.419493,0.676273,2.113616,c2
1.848648,1.9185,1.83154,1.043884,2.699168,0.889613,0.040201,0.799583,0.844973,2.12071,c2
2.03591,2.101171,2.14228,0.504241,2.7794,0.680233,0.094618,0.703073,0.451424,1.96519,c2
2.088634,2.155028,2.16167,0.782322,2.269271,0.753725,-0.053457,0.925933,0.748089,2.401055,c2
2.403866,2.150551,2.699737,0.74333,2.300402,0.679172,-0.04593,0.453863,0.687299,1.865881,c2
1.84161,2.104123,2.106105,0.851916,2.589837,0.943006,-0.088306,0.565274,0.580094,2.457232,c2
2.090386,2.055119,2.403496,0.86946,2.526513,0.920625,-0.19464,0.369808,0.578514,2.094064,c2
1.44014,0.475616,1.491895,1.483281,3.238749,-0.296766,2.559971,2.350089,0.580596,2.4839,c3
1.748504,1.050993,1.586978,1.282656,3.503778,0.30736,2.064061,2.878893,0.830947,2.921407,c3
1.19232,0.648388,1.842811,0.424555,4.227489,0.454188,2.420823,2.427138,0.260082,2.651285,c3
1.496708,0.770202,1.864147,0.670189,3.738645,-0.321398,2.696077,2.844136,0.352559,2.715709,c3
1.626376,1.098928,1.926128,0.508875,3.708317,0.474709,2.10906,3.113941,0.498372,2.815072,c3
1.698066,1.022744,1.687938,0.66126,3.764917,-0.259694,2.031995,2.738311,0.631629,2.508859,c3
1.385963,1.04808,0.559167,0.491905,3.302753,0.085347,2.300984,2.785332,-0.068666,2.541612,c3
1.699781,1.051031,1.81607,1.319429,3.853201,-0.068526,2.643058,2.790294,0.88113,2.407922,c3
1.663828,0.302206,1.789362,0.67142,3.605751,0.233532,2.447868,2.682585,0.487176,2.816973,c3
1.973326,0.548716,1.234406,0.82666,3.636053,0.291255,2.377169,2.892528,0.218455,2.505503,c3
1.664672,0.941138,1.440294,1.10393,3.719861,-0.05896,2.856229,2.79561,0.755265,2.795501,c3
1.675984,0.915805,1.447392,1.585439,3.933657,-0.189126,2.07058,2.250328,0.018423,2.52056,c3
1.715602,0.680412,1.761291,1.033754,3.989997,0.393011,2.36369,2.456209,0.007816,2.823818,c3
1.642929,1.226413,1.696466,0.958554,3.938129,0.224591,2.746398,2.899498,0.231739,2.756656,c3
1.360976,1.131788,1.385366,0.529458,3.195233,0.072143,2.257668,2.473042,0.263941,2.61085,c3
1.784826,0.523514,1.940027,0.675294,3.146332,0.634178,2.658602,2.959589,-0.084679,2.671419,c3
1.232234,0.997921,1.597847,1.312368,3.469915,0.232351,2.275274,2.89507,0.356123,2.79456,c3
1.915494,1.414456,1.323085,0.829596,3.465952,0.392677,1.994256,2.307067,0.69608,2.977559,c3
1.894,0.806468,1.688761,0.857413,3.712869,-0.134407,2.358416,2.031192,0.349343,2.461201,c3
1.193297,0.92548,1.847028,1.167461,3.532125,0.53774,2.424317,2.968112,0.389588,2.581784,c3
1.703274,0.954722,1.109316,0.867977,3.912756,0.670005,3.228897,2.399852,0.50788,2.645032,c3
1.777074,0.852627,1.867309,0.704619,3.373158,0.140016,2.404035,2.339217,0.666711,2.524763,c3
1.480968,0.961174,2.21916,1.059984,3.48234,0.341077,2.552334,2.640182,0.376247,2.338303,c3
1.394575,1.207607,1.679072,1.224846,3.339294,-0.072129,2.437912,2.560178,0.572194,2.179132,c3
2.102818,0.67771,1.617215,0.663739,3.074132,0.072023,2.383749,2.958773,1.057567,2.772622,c3
1.95113,0.853231,2.299751,0.728152,3.518367,-0.170752,2.242677,2.500264,0.676073,2.78731,c3
1.449932,1.020029,1.574245,1.101537,4.022529,0.311406,2.164158,2.779854,0.603437,2.781941,c3
1.256928,1.16335,2.122304,1.267988,3.349195,0.251645,2.532554,2.094411,0.695428,2.53695,c3
1.352091,0.837226,1.574456,0.860066,3.615301,0.272315,2.532273,2.547106,0.358733,2.638302,c3
1.979301,0.790786,1.078752,1.382127,3.058636,0.167495,2.085548,2.585721,0.849618,2.777797,c3
1.999147,0.984007,1.610319,0.866314,3.620029,0.081224,2.483683,2.638272,0.09549,2.54397,c3
1.596241,1.009887,1.326708,0.878615,3.488037,0.405551,1.944128,2.705249,0.487217,2.74738,c3
2.096789,1.002594,1.655118,1.188218,3.399207,0.24641,2.490655,2.218795,-0.19844,2.577956,c3
1.611603,1.290624,1.596096,1.075315,3.647558,0.15311,2.570979,2.482683,-0.125792,2.752674,c3
0.987854,0.681064,1.346202,0.679152,3.530631,0.017779,2.347315,2.514995,0.545564,2.030808,c3
1.718035,1.363135,1.526421,0.968976,2.92718,0.55944,2.244748,2.025711,0.227008,2.84351,c3
1.629462,0.855291,2.061844,0.864665,3.848396,-0.186279,2.642966,2.741835,0.705584,2.629404,c3
1.371194,0.895007,1.922577,0.888007,3.608334,0.576835,2.569661,2.732892,0.212189,2.2027,c3
1.10752,1.070528,1.748359,1.163205,3.762094,0.449239,1.882687,3.108769,-0.209001,2.420077,c3
1.516969,0.933459,1.362447,0.763386,2.987555,0.324338,2.293923,2.749977,-0.189025,2.004958,c3
1.760732,1.259902,1.42572,1.104773,3.574443,0.159112,2.125854,2.741804,0.636915,2.50596,c3
1.310077,0.580028,2.011786,0.995641,3.887933,0.233585,2.729711,2.896324,0.730255,2.822379,c3
1.492103,0.688211,1.271389,0.846222,3.676918,0.112161,2.434903,3.142011,0.593533,2.87373,c3
0.848375,0.548486,2.023963,0.602847,3.719886,0.034992,2.631655,2.785089,0.575004,2.616199,c3
1.67268,0.941914,1.83999,0.940736,4.305996,0.152543,2.638336,2.883186,0.565057,2.887705,c3
1.500285,0.988266,1.775028,1.138508,3.149777,0.173229,2.569198,3.182473,-0.215773,3.147193,c3
1.23473,0.951666,2.085167,0.762762,3.929618,0.083165,2.127742,2.462601,0.584035,2.12239,c3
1.214207,1.121269,1.627743,1.051844,3.174957,0.62745,1.859183,2.603522,0.000224,2.170827,c3
