"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"11",17227,11763,4896,16942,10849,9078,14361,13359,16602,10154,5259,8093,10020,5145,17107,10851,3369,13214,17916,378,17172,18668,16975,13168,12729,8770,11771,8656,2890,4533,14863,1250,8748,13490,4820,11617,4995,11890,18195,16245,3270,10001,11870,13246,16835,8052,12839,14784,16251,869,11096,13598,13,9712,14278,6471,7674,9479,10492,2869,6685,6108,10314,11953,6388,1173,17202,15557,2544,13621,9686,14157,18215,15527,6824,6996,588,17298,12962,4260,18702,14203,16392,13198,2652,14515,9908,5717,16171,9420,9705,384,18390,12476,17528,2877,14164,9297,18950,10114
"12",18403,3027,7899,11895,15129,6743,3613,9915,2838,1601,10492,16298,10783,14482,9972,6828,8383,5376,3503,16994,8494,8494,6766,2284,10386,9606,17921,11618,13148,15687,9208,9104,18499,7883,15864,8434,8870,18593,16883,17019,13931,9519,4409,18891,11869,6840,2403,16539,1408,15357,5626,6346,12289,281,5102,13048,16692,10139,17906,2349,15665,13580,1763,1703,16087,9038,12745,5598,10035,5427,1403,11187,8677,10504,8010,10537,13666,14277,11705,2808,5653,7542,863,18175,14678,12473,17524,12747,13288,662,2460,6983,3107,8512,11517,10832,3232,18776,15529,8552
"13",14142,11900,3242,5398,2385,9020,12834,3814,9361,331,4947,14256,11451,17575,1366,6020,354,17120,11629,5205,12197,7508,11210,3699,6095,2392,3294,8584,15131,17168,7277,655,155,13880,12918,3657,5876,921,1717,1337,1297,11276,7143,9979,12528,406,6790,13440,14528,4677,274,8660,1953,17238,12104,6684,17671,2513,11075,8164,18220,7321,5559,5243,10911,84,44,13845,11500,17177,15207,3790,18125,11184,7442,8966,15423,3091,14320,5247,905,5330,14151,4749,10359,14898,2092,8205,10162,16654,7136,11754,6531,16902,9607,17617,697,12851,7686,13361
"14",15913,7806,3200,4819,9396,11469,7897,12509,6223,12512,5393,16769,10668,1057,1435,15919,2479,566,9351,12556,5678,16155,10230,12214,7353,17627,12760,12006,18546,8295,5687,16223,17124,3113,9525,1841,2709,8499,6734,10925,6638,808,11609,4023,5729,17925,10787,7847,8135,3694,5638,4966,7743,4139,10255,16625,16683,1015,13611,10096,6949,14540,14512,7925,8701,3595,12272,11493,4194,4179,7151,1465,14663,9349,3399,1399,3726,2401,9404,4083,13874,2531,9314,18955,14133,3173,18445,18805,11273,16595,3819,12334,12830,13764,18481,11131,4937,17238,9407,9739
"15",223,7678,12197,8680,1357,4732,13787,10586,16186,11672,16309,18598,5178,7369,15922,7533,16028,18100,14756,14110,1132,12076,11283,2005,14212,489,16147,7922,18740,18807,13502,18215,6763,17877,5354,36,13198,13805,3097,9546,14717,3241,10129,1411,10209,8846,16391,1400,16034,17998,11407,10805,1273,3583,589,18612,4859,5012,271,16436,17009,5739,17159,14517,14627,7337,3849,16242,4521,14848,8338,13309,6388,11779,17048,2978,1946,15933,14354,15455,1797,10186,6577,946,2343,7233,16131,8122,9738,2907,9612,9790,3781,13213,9556,1153,2976,14600,224,16289
"16",14453,2604,10028,10053,9091,9424,1741,2353,17460,8221,11894,1196,13961,14891,14625,18988,12342,10776,3227,7459,10783,12991,2513,1678,13514,14021,16015,3075,16069,14415,8394,13998,16008,10493,12186,5745,14189,8585,5661,7037,16434,16086,10073,4986,3159,16471,8285,10292,5041,2140,16597,11045,18361,14519,920,11132,11701,573,16739,7810,11818,12367,9631,11404,8425,1295,12335,14525,442,10701,1504,4826,581,11397,11669,1653,3022,18348,8259,11547,10866,16805,17883,1791,4416,3648,9,7837,1795,167,16824,10645,3594,13234,9698,15437,5820,4544,2137,9084
"17",10142,8449,1986,799,14835,12143,9920,868,16256,269,13876,3840,13812,16337,2070,11196,119,9188,18211,14339,17301,17320,1311,6128,1344,3991,9230,4343,10731,17600,8668,15536,11013,6173,18050,18489,10302,531,17482,11484,16751,2835,421,9409,16705,304,17568,17520,1304,9492,7158,15769,9305,10604,6781,50,1115,18326,4342,10327,13595,14892,2868,17282,4160,8655,16435,17452,570,9800,8049,6870,13528,14739,6987,14828,10136,17383,689,2271,18228,12068,7966,8883,17431,12043,15374,16010,13529,13692,2673,13451,6067,17318,4403,4539,18959,14300,9243,17726
"18",8722,18383,3410,18064,1040,11712,10935,1444,6008,13878,386,4525,5653,16205,4050,6200,18597,13189,18380,9732,8754,1682,11534,2376,7927,10485,9493,11221,14669,16128,18206,8636,15370,3047,892,6062,3649,3287,16910,9423,15638,1855,1526,8254,13847,5558,307,14619,2765,9832,7290,6861,11304,12997,18908,13868,577,2836,3678,1240,10398,16291,4742,10094,2694,59,6224,14223,797,8062,18348,5441,17503,8398,1433,9328,11424,8277,1498,7284,13342,10875,13753,7296,16638,14189,9354,16151,18472,14217,13550,431,6304,3643,15290,9314,9783,17838,13580,10523
"19",4313,9892,16722,17661,3157,2784,9244,370,14048,6062,3919,2581,18069,15683,5699,16083,16951,3997,1075,18080,853,13599,18613,17302,9737,16478,1475,11294,8561,5932,2108,10903,2871,14845,18326,16695,10872,11785,12324,3116,9146,7598,4185,16911,12437,18342,17031,3969,1854,7595,18068,2121,13333,16821,2144,4780,18373,1392,12984,15971,13160,17069,8641,10459,12323,1197,920,6535,18890,12522,466,3065,2607,3262,3175,15612,6716,18158,15709,7125,11503,8131,10894,1162,1946,6072,17101,8350,783,15175,11153,7090,15326,9071,18080,7957,11225,3999,1598,1220
"20",14260,8872,15017,3524,12800,6423,7452,15827,1822,3893,13932,4354,16179,83,15910,6172,6795,16931,8502,15984,15178,12408,4656,15662,8002,18739,14385,15834,4267,2167,7329,15136,13412,4744,10024,3340,18168,3261,1409,9114,12581,12295,5622,18972,16406,16550,3475,4157,4753,12413,16341,14522,11710,8037,12815,8761,4268,2735,17974,6367,6328,1417,11828,4439,18423,17280,10303,10742,10538,4675,14515,7592,7763,7330,3967,11461,11507,10228,7391,11075,18451,17379,17488,7493,12929,7014,7755,14137,18094,14486,4315,12586,2849,9304,11949,13862,18362,11007,10129,12214
"21",15206,14203,17970,11666,17284,3233,13029,7577,3140,9122,12096,6524,18458,13580,8001,12905,5852,9586,10195,16202,5377,4008,12537,12816,14046,16805,4263,9665,2021,5357,6373,11506,5632,4267,18748,14063,2726,11895,13156,3032,12389,7000,17046,5781,11524,13073,10260,16075,14835,5490,8867,17745,4742,13679,9217,5162,9484,8170,18514,4823,10752,12773,15352,15156,4567,10241,8868,4440,3121,11783,18628,15704,17565,1641,15072,5087,3371,9135,8374,8986,15695,14709,15172,3316,4513,16905,16587,1946,5263,3247,13004,18305,9027,4119,5498,14575,164,1970,4326,2296
"22",10028,9262,9684,12250,5463,8508,13847,7789,14525,17961,7304,5858,12995,6421,8950,10693,5131,15558,15773,17490,3001,4390,3002,166,11499,8587,15522,5684,2291,14346,1533,2866,5188,12836,7784,8011,6159,6530,1450,15933,271,9748,3005,11020,3973,2279,12297,3065,5472,16171,12691,4515,10933,1551,17106,9827,12061,16244,10676,8782,12761,5362,1100,10446,2755,3394,5961,11745,13397,8135,14040,15194,10335,3673,18378,11662,4938,11291,9159,18351,17629,3178,8260,4946,13471,3014,8355,15930,11419,6028,13671,14124,15196,3203,16226,11941,6844,3596,7969,390
"23",6152,9386,5758,3211,17405,8830,151,18647,14276,14091,4752,877,7805,3129,17464,9212,9646,1093,1810,17045,8727,6856,15919,9832,821,8742,10046,4429,1397,3215,18765,13214,4649,7886,9392,15812,1896,12451,2834,11387,10448,824,12129,4686,1674,6370,5880,553,10910,5520,2111,7463,2074,5896,17558,6897,1450,12734,14191,1184,15104,5964,15879,2477,3734,10873,1707,16225,6413,6005,7418,15603,4832,200,4634,10894,6009,12919,3888,4015,3157,6708,1241,11888,4769,10269,13569,5356,15094,7159,17977,3796,12984,18206,11332,5626,14935,10726,15650,8748
"24",2743,9933,18139,16769,5007,8734,5713,6187,4355,5118,754,16847,574,2545,369,10866,15703,18279,8370,10470,2008,16616,10229,12678,12983,8279,6014,3749,2217,4902,1365,3045,18328,17905,12605,8013,3650,12183,16617,4170,758,10111,17179,10900,11065,15510,16102,2350,9155,440,7132,3720,4835,13632,13817,9657,7262,8701,12067,7069,9262,18405,3226,9905,18911,1821,11317,13978,9098,12653,10664,16824,18498,67,2461,9840,5003,2405,2988,7492,2217,14528,12879,8522,4325,10962,13115,18416,8271,18228,17776,1499,14397,18571,6933,3375,13369,6132,2784,5324
"25",13139,2368,11037,7696,7060,1509,16024,2479,16654,7433,2851,1489,10436,13443,13697,2368,11515,13672,13156,18834,3309,5580,6259,3424,3044,18888,12123,2135,66,6430,11698,2605,3143,11611,2909,17230,6070,17428,1891,8887,15583,16026,6362,18198,3767,5454,16156,795,18071,15337,4424,11646,8255,5863,9926,15558,12548,985,16462,13606,13967,15444,622,18616,1408,16731,12417,12254,15786,14588,18803,714,3517,13404,13165,8848,8382,9824,12676,4794,11458,13072,11070,18637,1153,11101,5842,12185,5451,9477,3266,5857,10915,7434,13027,9879,13375,18109,946,13723
"26",16194,6947,7685,9514,17884,5891,2502,12441,14907,10014,15167,13443,10030,1481,4764,3244,16641,15460,10723,18184,9708,672,8157,5023,11485,553,9823,7375,1199,17014,2948,1476,3253,16246,611,9233,5866,6526,17489,17239,3314,8062,14849,877,15728,8684,16493,660,5573,658,7602,5791,3956,10294,18298,5893,4837,1241,5263,1632,11030,8236,14771,4311,4199,18779,9616,16752,1722,17808,943,8307,15453,3595,15673,8287,2623,4452,4679,8956,80,9760,12431,4234,1772,11491,12998,2747,3251,3139,14204,10852,12219,7886,3595,12041,9519,525,3434,18889
"27",14529,527,6504,18397,5044,18495,1743,10876,14163,293,12625,1695,1003,10714,17547,3102,10339,6212,18523,3494,13194,394,3863,8409,12272,13348,8211,14202,4566,12768,9774,5808,17746,3759,17920,558,9609,4392,5920,17407,14591,11797,9576,3941,9653,8839,12237,9458,18709,11935,7253,7051,12517,5163,15442,8129,4991,15534,15916,2644,4667,18381,15613,3151,7351,12381,11074,16636,12276,2661,9112,14944,8475,10076,7973,12629,13378,3714,10656,11653,11357,8495,14934,9003,627,6273,4448,15604,16288,9968,16245,14853,887,3928,12530,14954,9582,15620,16942,11979
"28",9939,12939,5930,14020,7752,6303,17589,16143,7843,3246,2325,16981,10740,13144,15605,9390,14278,9146,8789,10427,2741,10953,10711,3397,10077,4385,4336,17517,13598,17553,2012,3499,18114,3456,4090,7063,1558,3541,18418,5904,1970,13688,4991,8305,6645,10258,2961,9099,16704,15562,13584,12035,2348,11399,16311,6820,3441,16273,1383,16852,4232,6834,7837,6268,16926,17718,10488,10123,1834,2289,6451,16834,55,15284,9739,13811,8900,2833,3101,10714,6064,9464,14742,18540,8246,17975,16999,8495,11916,15015,565,8057,2111,12067,348,16245,13338,7945,2267,7313
"29",17197,16196,16962,7501,5437,420,15785,7690,16650,3274,14209,11708,15388,10653,6773,13886,984,520,3385,10937,16406,1633,16539,1234,14303,17465,927,4010,18226,12614,7840,5629,7230,9535,6642,9366,3577,18958,9072,3902,3293,7466,10782,9620,10517,7975,14913,14631,7193,14414,11262,17836,7992,15124,939,17847,1969,8055,1396,14667,16906,9352,10434,2803,18718,2204,11125,10345,2999,14804,12858,11192,16593,140,17298,15799,11425,10456,15013,10922,1515,14430,2448,4579,18108,11870,18764,2554,7909,4930,10763,4864,17313,2791,6647,9925,14331,16794,9655,5080
"30",3423,18995,13830,3764,15175,185,13777,14590,14458,14787,11418,12721,2701,7289,5263,2058,7104,2192,10781,9153,10636,2437,1942,13652,10334,4723,16474,11144,8220,7315,9875,1376,18497,5074,10349,11713,16863,7565,5883,773,14150,11475,1693,16169,5256,18230,14134,11500,11154,3453,2733,6832,17661,17616,12064,3385,17737,5160,11929,7625,2025,17466,4244,9766,12363,7801,3710,11501,5541,9664,9100,5748,14156,7357,5990,17873,10427,14359,448,18563,2102,18847,10299,8916,14977,11478,4507,14143,11703,2103,13939,13946,8587,8262,6544,17293,6731,6963,9728,7884
"31",11986,1619,8159,14736,17951,2525,6288,6734,616,18457,17022,2815,3591,8606,693,13751,1012,16349,11996,17543,18267,14630,5192,18258,16714,7723,12258,13593,7737,4992,2813,6335,13339,14589,18349,13866,3212,12780,11543,1617,6568,12107,16496,11549,8344,18153,15791,5031,7402,17543,16885,8035,7288,13266,10484,3410,13401,8264,17651,18313,8210,11644,16323,15955,13646,7189,2209,17565,15352,952,10995,198,4982,17227,12147,8897,17393,9306,14874,10703,7455,18781,8530,12783,8513,9677,3612,17576,9037,15924,4006,7603,13599,7463,15289,9243,17314,13942,1091,9731
"32",10991,17989,15357,6725,8876,3361,2215,6353,14260,9024,9005,747,5757,11542,16399,6025,1076,11299,15832,1482,3606,3069,16897,4428,15056,2409,14138,7907,1917,18219,16904,2539,14655,16658,1902,11860,8545,9261,9161,17932,8982,18778,5592,9774,8617,4933,10923,4531,16031,9867,888,1799,339,1960,3487,11400,3165,15079,17650,3612,13368,6749,2993,5169,15775,15429,9669,584,9057,6341,8487,8358,3978,7555,6296,11111,13192,14872,14883,18653,3190,1184,14599,11143,133,15662,15647,6208,5172,8372,13803,18433,498,674,2877,17223,5227,6948,10106,3474
"33",760,4326,8718,13525,7228,13750,2476,10701,8756,3873,15672,2740,10191,15960,17358,18340,9452,789,11976,7099,7912,516,8424,12111,13014,13033,2599,1815,15222,875,7051,12305,16535,18758,15439,17263,11389,3381,6603,10819,14274,4542,10420,8996,14624,4460,3551,13927,183,9078,7933,15982,5052,5717,8110,3183,14848,17903,15071,3972,17071,13849,873,4916,3526,3999,18500,15592,3173,3166,12008,3867,16605,6892,16141,1586,125,9969,11434,9102,5477,13328,6067,134,6619,17702,18430,14427,9817,16624,6292,6328,3725,9872,4558,2721,15451,5281,10671,4540
"34",17672,11679,8907,8211,5783,15733,14548,13187,91,18555,9049,16141,18872,12654,11497,16883,16221,14513,9930,3118,16236,17301,9927,5937,18629,12398,5412,1908,11255,125,7382,18666,15115,14199,17058,10308,9998,17740,174,11768,1386,13520,14318,13066,306,18207,17193,9140,18269,13250,12704,14350,18212,11742,7637,8800,16789,6774,9396,9031,14868,7177,1696,15659,15407,15586,18389,6685,18483,9636,12473,4243,12878,13348,9345,8777,1656,18327,7564,6546,1448,15755,13096,3744,6937,12847,2141,18563,6348,1482,9731,16209,309,18031,12631,1168,16454,7397,8893,11195
"35",14313,13886,2585,5034,1118,2342,67,12894,15666,486,3897,6240,4125,8813,16989,4820,7663,10410,4136,18141,2687,4901,12974,8810,18918,337,10695,15642,5807,33,1682,4195,5022,194,14241,12705,5709,11928,8044,2178,13671,11741,10254,12922,1317,2517,16438,3614,18888,15542,18747,9186,6959,13331,17471,3589,7025,7073,12755,16560,14903,17407,13491,18483,16855,15062,16245,14939,13970,8015,7393,5522,986,13590,118,2924,13774,4794,6223,14083,8547,2731,11408,14409,4650,11391,17955,6676,9160,12532,3668,9700,10531,18331,2599,13164,10851,3015,2541,5025
"36",6604,188,13169,1897,9130,17722,7388,16817,17646,4495,16754,594,306,15799,11109,3817,6903,12440,18141,4310,14972,15838,1861,1144,17615,15145,16740,3151,18528,15578,15887,3391,8037,12651,9436,2855,17009,5910,132,2606,11095,7344,7903,4557,12564,11287,4185,8573,12405,3243,16281,3531,9867,10399,10804,17303,9594,11007,17012,11110,13761,4235,12137,12613,3350,5849,17088,13077,8854,12749,6547,10528,4951,10751,9651,14211,13270,13033,16155,8126,1820,14538,7255,2284,2759,15214,10378,4241,1185,16938,14430,16585,14366,14880,538,13680,14754,6176,13726,13391
"37",18220,6124,4896,10253,9234,10206,10620,9931,18458,13609,10453,6557,4510,13466,6909,1069,13753,10146,4625,11504,13977,5681,8986,10986,7737,16221,14687,4490,5186,13648,9850,5431,11355,14083,14596,435,4523,17749,10680,5402,9534,7691,1802,18561,1707,16505,5298,18408,16578,18225,16053,6046,6564,12189,11750,5203,17372,18052,17001,8028,8736,17322,16264,2723,18011,11070,10823,4160,13357,308,12114,16084,1862,15672,4181,11785,2128,2839,14369,8316,3700,6458,7090,6064,16757,16228,352,841,17443,10900,10680,15004,3119,6704,17015,7414,13844,8025,12232,9750
"38",15255,13265,10723,670,8037,12222,15391,17048,12700,667,8607,414,3391,8748,9589,2568,18555,3314,2820,1581,6598,17440,7955,14410,14546,14556,1832,7891,17860,2010,4213,3463,10599,5567,5858,12474,251,2826,18238,8977,6807,14813,6585,7689,599,10826,16590,3783,4831,5354,13897,14737,17261,3535,16994,15241,1228,12376,1606,11519,13812,15605,5522,357,13657,4037,9828,4411,5789,17877,16425,860,13720,4686,10241,9223,15073,15751,18315,1443,694,10652,9961,7191,12878,12962,11172,7827,18725,6355,14428,12904,8391,894,17860,8102,8243,9569,4612,4498
"39",3765,3582,9936,5178,3791,10524,1217,6615,4804,8854,12213,5021,4490,8418,2199,3610,17082,4956,11776,5154,3614,2696,16767,12523,12571,11896,11480,12846,12545,17124,1753,2072,13135,549,10148,359,8944,1997,14160,6744,4506,4973,5898,594,12670,3682,15071,11656,10200,15636,896,2299,15640,18382,13109,14926,16102,13990,13499,17997,1476,16468,6753,109,5606,13567,13558,13490,15654,9551,5039,3473,6410,18401,18282,6291,9116,9701,9154,16975,15221,18153,5130,3858,7706,2905,8844,10658,1236,14739,269,13113,16022,6089,13192,2678,6450,467,16504,4508
"40",6435,8474,2263,7320,9775,9521,11696,9700,16503,16067,336,17050,318,13791,14884,4648,13065,7114,3071,1831,7346,7004,8821,304,299,13575,7070,4411,11864,720,4359,2845,4941,9146,486,17513,4124,15048,5118,15679,5725,15321,9754,4261,11075,250,2532,5223,12806,16174,4514,10887,4891,1134,13922,13633,14382,18550,2459,10258,14663,15435,11912,18450,1246,14753,13927,14619,3068,5446,17763,10547,15721,15572,14177,4171,9770,18330,13613,8898,14298,6356,14428,16074,6866,15983,7721,1198,615,7148,2742,3652,7641,13026,18989,12465,12319,5834,77,13242
"41",2297,5914,1649,11455,17810,10981,2706,5615,12557,592,10305,2565,15107,10271,7854,9378,5869,18155,10464,17122,4811,4649,4703,7287,2493,5193,5393,13115,1501,11039,14894,8789,57,18886,6533,14385,16999,17581,18217,2840,9716,14462,8077,9808,12264,11500,10992,8534,1014,17246,4226,13350,16228,12426,15801,17680,7303,4399,5009,2286,8992,11311,9579,11407,1831,11684,4988,2449,10112,18326,13787,15039,2688,18747,2890,17112,9944,3673,4616,3730,11048,18478,4311,11324,6819,3702,15617,12862,2586,10039,9645,14394,8386,1655,7711,8056,11878,12305,16573,5783
"42",231,18463,5999,17532,17217,5759,14630,12040,3608,2578,2577,15124,1303,12646,2344,8489,11097,16405,1199,1403,11165,12538,14842,18699,10736,12209,4565,9902,6647,15642,11800,1878,7150,18866,13197,6839,13504,1729,17807,9745,9085,3465,17108,12360,875,4253,1163,10759,17312,13337,3382,14178,8752,5305,3803,8676,6985,10712,14224,13930,11151,881,2591,14302,7056,506,10350,2866,10994,9444,2653,18750,11172,609,6920,6393,9847,5249,16494,14578,12932,9574,12551,18506,7651,13318,9124,11796,12004,16011,6563,9543,15586,3617,10483,3217,4278,8680,14663,13764
"43",11819,14929,2942,13250,7972,10026,1565,13253,13864,4431,7609,5328,15686,6654,6084,18582,12455,5735,7886,10473,2507,2838,1817,15743,10076,2574,18732,17631,9464,9270,15715,17460,366,9529,8505,12057,679,4137,12796,3295,10574,4152,11639,2330,4840,14749,10186,7684,13549,2780,218,16786,13621,6201,9389,1152,2638,17057,10394,6778,3416,690,361,14537,3518,1575,1844,1122,2710,9563,17069,5477,4847,17449,14663,14983,13852,11080,13549,12893,18544,10652,12743,9374,5944,722,4548,2025,1715,14056,8955,10771,3937,7605,7428,12902,4478,6983,16303,17685
"44",12750,1033,10219,12002,3211,16943,1485,18312,12296,4278,17692,3090,4247,5898,11857,16339,18523,14325,12235,5937,12028,11406,12367,2564,2406,6105,1146,14312,13787,16134,8332,763,6206,12267,6013,16579,2693,5086,7745,8478,2799,3209,13717,10786,8264,3568,466,1079,10974,18674,2621,13658,4244,1252,9302,407,6517,641,6058,1797,16834,11177,12356,6708,2534,7100,6867,16670,4196,12019,143,16083,2837,11766,18271,1709,11474,16997,11811,18036,12229,4486,4186,9217,13880,12412,10294,18315,7330,14310,2206,525,6443,18328,632,8663,16484,15816,10626,16780
"45",16784,16587,4140,9642,2482,5847,16098,1068,2430,9038,5188,5968,13220,2886,8513,369,2407,18943,6064,8087,18592,17591,1384,17295,13298,9291,2322,11436,12829,53,11608,5264,10587,18615,4237,3390,447,7834,11655,1858,16495,16375,18542,5572,10452,7645,11371,7463,3337,9341,17440,10631,12468,17963,17203,2388,16400,10389,3231,10758,9838,10284,547,7705,17618,11371,1162,1765,2970,17212,9863,7312,2818,7003,17782,17690,11770,7754,13953,13567,1922,9007,12224,526,10200,3444,8885,11195,8034,13831,8892,12645,16584,3117,11338,12002,11173,9176,7450,15085
